Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes
"2187 Holland Ave, Unit 5H",2187 Holland Ave,Pelham Parkway,Bronx,"$102,000 ",$131 ,3,1,1,1,1,,780,"$1,001 ","$1,001 ",,Co-op/Co-Operative,Attached,Co-op,Sold,305,4/7/20,9/21/18,"$118,000 ","$118,000 ",11/22/19,"$102,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041500442001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10462,,,,1930,,73,
"1601 Metropolitan Ave, Unit 5C",1601 Metropolitan Ave,Parkchester,Bronx,"$270,000 ",$322 ,5,2,1,1,1,,839,$889 ,$944 ,$56 ,Condominium/Condo,,Condo,Sold,31,4/5/20,12/3/19,"$279,999 ","$279,999 ",1/3/20,"$270,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040600451001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10462,,,,,,,
1639 Radcliff Ave,1639 Radcliff Ave,Morris Park,Bronx,"$550,000 ",$292 ,7,3,3,2.5,2,1,"1,881",,$380 ,$380 ,Townhouse,,Townhouse,Sold,70,4/2/20,12/19/19,"$599,500 ","$599,500 ",2/27/20,"$550,000 ",Unverified,4/1/20,,,10462,,"1,800 SF / 18' x 100'",,1945,,1,
27 Sigma Pl,27 Sigma Pl,North Riverdale,Bronx,"$2,118,000 ",$530 ,12,5,,4.5,,,"4,000",,"$1,598 ","$1,598 ",House/Building,Single Family,Townhouse/Single Family,Sold,307,7/27/20,2/14/19,"$2,350,000 ","$2,350,000 ",12/19/19,"$2,118,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040600151001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10471,37.17' x 42.58',"2,760 SF / 20' x 138'","Balcony
Private Terrace
Private Patio
Common Outdoor Space
Private Outdoor Space",1970,,1,
"3135 Johnson Ave, Unit 16B",3135 Johnson Ave,Spuyten Duyvil,Bronx,"$525,000 ",$438 ,5,2,2,2,2,,"1,200","$1,408 ","$1,408 ",,Co-op,,Co-op,Sold,181,4/5/20,11/13/18,,"$530,000 ",11/19/19,"$525,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040300101001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10463,,,"Balcony
Common Outdoor Space
Private Outdoor Space",1953,Full-Time Doorman,122,
4207 Kepler Ave,4207 Kepler Ave,Woodlawn Heights,Bronx,"$729,000 ",$405 ,10,4,2,2,2,,"1,800",,$505 ,$506 ,House/Building/Single Family,Detached/Single Family,Townhouse/Single Family,Sold,115,4/1/20,6/21/19,"$729,000 ","$729,000 ",8/21/19,"$729,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020042600022001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10470,20' x 32',"2,500 SF / 25' x 100'",Porch,1920,,1,
2535 Belmont Ave,2535 Belmont Ave,Fordham Manor,Bronx,"$650,000 ",$325 ,,,,,,,"2,000",,,,House/Building,Three Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$650,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040700603002"" target=""_blank"">Public Record Only</a>",4/1/20,,,10458,20' x 50',"2,185 SF / 25' x 87.42'",,1920,,3,
2429 Morgan Ave,2429 Morgan Ave,Pelham Gardens,Bronx,"$575,000 ",$318 ,7,3,3,2.5,2,1,"1,810",,$432 ,$433 ,House/Building/Single Family,Attached/Single Family,Townhouse/Single Family,Sold,49,4/1/20,9/30/19,"$595,000 ","$595,000 ",1/9/20,"$575,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041300806001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10469,20' x 35',"2,500 SF / 25' x 100'",,1955,,1,
441 White Plains Rd,441 White Plains Rd,Harding Park,Bronx,"$790,000 ",$263 ,,6,2,2,2,,"3,000",,$583 ,$583 ,House/Building/Multi Family,All Multi Family/Two Family,Townhouse/Multi Family,Sold,14,4/2/20,2/7/20,"$850,000 ","$850,000 ",2/21/20,"$790,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041000031001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10473,20' x 50',"2,000 SF / 20' x 100'",,1970,,4,
441 White Plains Rd,441 White Plains Rd,Harding Park,Bronx,"$790,000 ",$263 ,,6,2,2,2,,"3,000",,$583 ,$583 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family,Sold,42,2/4/20,7/16/19,"$899,000 ","$850,000 ",,"$790,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020041000031001"" target=""_blank"">Verified by Public Record</a>",4/1/20,,,10473,20' x 50',"2,000 SF / 20' x 100'",,1970,,4,
