Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,,
"219 W 14th St, Unit 2F",219 W 14th St,Chelsea,Manhattan,"$1,646,000","$1,646",4,1,2,2,2,,"1,000",$426,"$1,152",$726,Condo,,Condo,Sold,75,02/03/2020,08/02/2019,"$1,700,000","$1,700,000",10/17/2019,"$1,646,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021201122002"" target=""_blank"">Verified by Public Record</a>",01/29/2020,,,10011,,,Common Outdoor Space,1900,,22,,,
"315 W 70th St, Unit 6A",315 W 70th St,Upper West Side,Manhattan,"$799,000",,3,1,1,1,1,,,"$2,089","$2,089",,Co-op,,Co-op,Sold,60,12/14/2019,03/13/2019,"$799,000","$799,000",10/21/2019,"$799,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011301216001"" target=""_blank"">Verified by Public Record</a>",01/16/2020,,,10023,,,,1963,"Doorman, Full-Time Doorman",185,,,
"306 W 100th St, Unit 56",306 W 100th St,Upper West Side,Manhattan,"$670,000",,4,1,1,1,1,,,"$1,028","$1,028",,Co-op,,Co-op,Sold,122,12/17/2019,07/25/2019,"$699,000","$680,000",11/25/2019,"$670,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020301209001"" target=""_blank"">Verified by Public Record</a>",02/03/2020,,,10025,,,,1940,,32,,,
"38 W 9th St, Unit 1",The Portsmouth,Greenwich Village,Manhattan,"$2,175,000",,6,2,4,3.5,3,1,,"$4,281","$4,281",,Co-op,,Co-op,Sold,72,02/05/2020,09/11/2019,"$2,750,000","$2,095,000",11/22/2019,"$2,175,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021100409001"" target=""_blank"">Verified by Public Record</a>",02/04/2020,,,10011,,,,1900,"Doorman, Full-Time Doorman",54,,,
"48 W 86th St, Unit 2",48 W 86th St,Upper West Side,Manhattan,"$2,333,000","$1,296",4,2,3,2.5,2,1,"1,800","$2,668","$2,668",,Co-op,,Co-op,Sold,134,01/06/2020,05/16/2019,"$2,499,999","$2,499,999",09/27/2019,"$2,333,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011400999001"" target=""_blank"">Verified by Public Record</a>",01/06/2020,,,10024,,,Juliet Balcony,1900,,5,,,
"204 W 10th St, Unit 19",204 W 10th St,West Village,Manhattan,"$805,500",,4,2,2,1.5,1,1,,$838,$838,,Co-op,,Co-op,Sold,23,02/11/2020,10/23/2019,"$745,000","$745,000",11/16/2019,"$805,500","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021300579001"" target=""_blank"">Verified by Public Record</a>",02/11/2020,,,10014,,,,1900,,29,,,
"305 2nd Ave, Unit 525",Rutherford Place,Gramercy,Manhattan,"$1,687,500","$1,357",6,2,2,2,2,,"1,244",$771,"$2,361","$1,590",Condo,,Condo,Sold,56,02/06/2020,09/04/2019,"$1,985,000","$1,790,000",10/31/2019,"$1,687,500","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021101328001"" target=""_blank"">Verified by Public Record</a>",02/05/2020,,,10003,,,"Roof Deck
Common Roof Deck",1903,"Doorman, Full-Time Doorman, Concierge",127,,,
"354 W 12th St, Unit 2B",354 W 12th St,West Village,Manhattan,"$544,000",,2,Studio,1,1,1,,,$799,$799,,Co-op,,Co-op,Sold,100,02/13/2020,07/17/2019,"$599,000","$549,000",10/25/2019,"$544,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022400188001"" target=""_blank"">Verified by Public Record</a>",02/10/2020,,,10014,,,Common Garden,1915,,49,,,
"215 E 72nd Street, Unit 3E",215 E 72nd St,Upper East Side,Manhattan,"$2,675,000",,7,3,4,3.5,3,1,,"$5,218","$5,218",,Co-op,,Co-op,Sold,23,02/05/2020,09/16/2019,"$2,750,000","$2,750,000",10/09/2019,"$2,675,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2019122001198001"" target=""_blank"">Verified by Public Record</a>",01/22/2020,,,10021,,,Common Outdoor Space,1929,Full-Time Doorman,32,,,
"45 Gramercy Park N, Unit 1C",45 Gramercy Park N,Gramercy,Manhattan,"$550,000",,3,1,1,1,1,,,"$2,403","$2,403",,Co-op,,Co-op/Other,Sold,149,02/05/2020,03/11/2019,"$575,000","$575,000",08/08/2019,"$550,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011600680001"" target=""_blank"">Verified by Public Record</a>",01/07/2020,,,10010,,,,1927,"Doorman, Full-Time Doorman",40,,,
