Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,
9 Joline Ln,n/a,Tottenville,Staten Island,"$1,040,000",$280,8,4,4,3,2,2,"3,718",,$985,$986,Residential,Single Family - Detached,Single Family,Sold,111,02/12/2021,08/27/2020,"$1,099,000","$1,099,000",12/16/2020,"$1,040,000",Unverified,02/12/2021,,,10307,32' x 44',"4,230 SF / 47' x 90'",Private Outdoor Space,2006,,1,,
22 Buffington Ave,22 Buffington Ave,Annadale,Staten Island,"$940,000",$385,7,4,4,3.5,3,1,"2,440",,$788,$788,Residential,Two Family - Detached,Multi Family,Sold,40,02/12/2021,09/24/2020,"$969,000","$969,000",11/03/2020,"$940,000",Unverified,02/12/2021,,,10312,40' x 28',"6,000 SF / 60' x 100'",Private Outdoor Space,1986,,2,,
46 Purdy Pl,n/a,Prince's Bay,Staten Island,"$750,000",$326,7,3,3,2.25,2,1,"2,300",$111,$736,$625,Residential,Single Family - Detached,Single Family,Sold,374,02/13/2021,12/03/2019,"$859,900","$799,999",12/11/2020,"$750,000",Unverified,02/12/2021,,,10309,0' x 0',"4,050 SF / 45' x 90'","Balcony
Porch
Private Outdoor Space",,,0,,
419 Winchester Ave,419 Winchester Ave,Eltingville,Staten Island,"$870,000",$380,6,6,3,2.75,3,,"2,288",,$667,$667,Residential,Two Family - Detached,Multi Family,Sold,65,02/12/2021,09/16/2020,"$869,000","$869,000",11/20/2020,"$870,000",Unverified,02/12/2021,,,10312,26' x 44',"4,000 SF / 40' x 100'","Porch
Private Outdoor Space",1960,,2,,
163 Driggs St,n/a,Great Kills,Staten Island,"$529,900",$359,5,3,2,1.5,1,1,"1,475",,$381,$381,Residential,Single Family - Semi-Attached,Single Family,Sold,14,02/12/2021,10/13/2020,"$529,900","$529,900",10/30/2020,"$529,900",Unverified,02/12/2021,,,10308,18' x 35',"2,100 SF / 21' x 100'",Private Outdoor Space,1930,,1,,
"862 Rossville Ave, Unit A",862 Rossville Ave,Rossville,Staten Island,"$395,000",$427,4,2,1,1,1,,924,$265,$496,$231,Residential,Single Family - Attached,Townhouse/Condo,Sold,179,02/12/2021,05/30/2020,"$429,000","$429,000",11/25/2020,"$395,000",Unverified,02/12/2021,,,10309,,,Private Outdoor Space,1983,,,,
40 Burgher Ave,40 Burgher Ave,Dongan Hills,Staten Island,"$788,000",$352,6,6,2,2,2,,"2,236",,$715,$715,Residential,Two Family - Detached,Multi Family,Sold,62,02/12/2021,09/18/2020,"$858,888","$858,888",11/19/2020,"$788,000",Unverified,02/12/2021,,,10304,26.67' x 43.5',"4,000 SF / 40' x 100'",Private Outdoor Space,1960,,2,,
201 Corson Ave,201 Corson Ave,New Brighton,Staten Island,"$580,000",$220,6,3,1,1,1,,"2,640",,$310,$310,Residential,Two Family - Semi-Attached,Multi Family,Sold,40,02/12/2021,10/14/2020,"$610,000","$610,000",11/23/2020,"$580,000",Unverified,02/12/2021,,,10301,22' x 52',"2,500 SF / 25' x 100'",Private Outdoor Space,1920,,2,,
199 Corson Ave,n/a,New Brighton,Staten Island,"$580,000",,,,,,,,,,$107,$107,Land/Lots,Residential,Land/Single Family,Sold,40,02/12/2021,10/14/2020,"$610,000","$610,000",11/23/2020,"$580,000",Unverified,02/12/2021,,,10301,,0.06 AC,,,,,,
18 Croak Ave,n/a,Todt Hill,Staten Island,"$633,000",$510,5,3,2,1.5,1,1,"1,240",,$475,$475,Residential,Single Family - Semi-Attached,Single Family,Sold,18,02/12/2021,10/22/2020,"$639,000","$639,000",11/09/2020,"$633,000",Unverified,02/12/2021,,,10314,17' x 43',"2,500 SF / 25' x 100'","Balcony
Deck
Private Outdoor Space",1980,,1,,
412 Adams Ave,n/a,Midland Beach,Staten Island,"$610,000",$436,6,3,3,2.25,2,1,"1,400",,$448,$448,Residential,Single Family - Semi-Attached,Single Family,Sold,53,02/12/2021,10/22/2020,"$638,888","$638,888",12/14/2020,"$610,000",Unverified,02/11/2021,,,10306,16' x 50',"2,442 SF / 22' x 111'","Deck
Private Outdoor Space",1975,,1,,
