,zipcodeID,zipcode
67,0,10001
88,1,10002
89,2,10003
82,3,10004
83,4,10005
84,5,10006
85,6,10007
90,7,10009
75,8,10010
68,9,10011
79,10,10012
80,11,10013
81,12,10014
76,13,10016
77,14,10017
69,15,10018
70,16,10019
71,17,10020
91,18,10021
78,19,10022
97,20,10023
98,21,10024
99,22,10025
62,23,10026
63,24,10027
92,25,10028
73,26,10029
64,27,10030
100,28,10031
101,29,10032
102,30,10033
103,31,10034
74,32,10035
72,33,10036
65,34,10037
86,35,10038
66,36,10039
104,37,10040
93,38,10044
94,39,10065
95,40,10075
96,41,10128
87,42,10280
174,43,10301
166,44,10302
167,45,10303
175,46,10304
176,47,10305
169,48,10306
170,49,10307
171,50,10308
172,51,10309
168,52,10310
173,53,10312
177,54,10314
6,55,10451
7,56,10452
0,57,10453
9,58,10454
10,59,10455
8,60,10456
1,61,10457
3,62,10458
11,63,10459
2,64,10460
19,65,10461
20,66,10462
13,67,10463
21,68,10464
22,69,10465
15,70,10466
4,71,10467
5,72,10468
16,73,10469
17,74,10470
14,75,10471
23,76,10472
24,77,10473
12,78,10474
18,79,10475
142,80,11004
143,81,11005
126,82,11101
127,83,11102
128,84,11103
129,85,11104
130,86,11105
131,87,11106
44,88,11201
49,89,11203
33,90,11204
45,91,11205
59,92,11206
53,93,11207
54,94,11208
30,95,11209
50,96,11210
55,97,11211
25,98,11212
26,99,11213
31,100,11214
46,101,11215
27,102,11216
47,103,11217
34,104,11218
35,105,11219
57,106,11220
60,107,11221
56,108,11222
40,109,11223
41,110,11224
51,111,11225
52,112,11226
32,113,11228
42,114,11229
36,115,11230
48,116,11231
58,117,11232
28,118,11233
37,119,11234
43,120,11235
38,121,11236
61,122,11237
29,123,11238
39,124,11239
109,125,11354
110,126,11355
111,127,11356
112,128,11357
113,129,11358
114,130,11359
115,131,11360
105,132,11361
106,133,11362
107,134,11363
108,135,11364
116,136,11365
117,137,11366
118,138,11367
159,139,11368
160,140,11369
161,141,11370
162,142,11372
163,143,11373
132,144,11374
133,145,11375
164,146,11377
165,147,11378
134,148,11379
135,149,11385
144,150,11411
119,151,11412
145,152,11413
151,153,11414
152,154,11415
153,155,11416
154,156,11417
155,157,11418
156,158,11419
157,159,11420
158,160,11421
146,161,11422
120,162,11423
147,163,11426
148,164,11427
149,165,11428
150,166,11429
121,167,11432
122,168,11433
123,169,11434
124,170,11435
125,171,11436
136,172,11691
137,173,11692
138,174,11693
139,175,11694
140,176,11695
141,177,11697
